Country,Year,Production,Exports,Domestic_consumption,Gross_opening_stocks,Imports,Re_exports,Price_retail,Consumption,Coffee_type,Price_grower,Country_code,Latitude,Longitude,Exports (tonnes),Domestic Consumption (tonnes),Production (tonnes),Price to Grower ($)
Cuba,1990,414.212,181.7789999,213.0,265.7,,,,,Other Milds,171.4282,CU,21.521757,-77.78116700000001,10906.739994,12780.0,24852.72,1.714282
Dominican Republic,1990,880.062,535.207,320.0,560.0,,,,,Other Milds,66.055,DO,18.735693,-70.162651,32112.42,19200.0,52803.72,0.6605500000000001
Haiti,1990,392.88,191.445,220.0,47.0,,,,,Other Milds,41.2845,HT,18.971187,-72.28521500000001,11486.699999999999,13200.0,23572.8,0.412845
Philippines,1990,973.632,168.282001,720.0,1223.0,,,,,Brazilan Naturals,,PH,12.879721,121.774017,10096.92006,43200.0,58417.92,
Philippines,1990,973.632,168.282001,720.0,1223.0,,,,,Robustas,34.2253,PH,12.879721,121.774017,10096.92006,43200.0,58417.92,0.342253
Tanzania,1990,931.779,1019.0519998,4.0,450.0,,,,,Colombian Milds,40.8183,TZ,-6.369028,34.888822,61143.119988,240.0,55906.74,0.408183
Tanzania,1990,931.779,1019.0519998,4.0,450.0,,,,,Robustas,17.007,TZ,-6.369028,34.888822,61143.119988,240.0,55906.74,0.17007000000000003
Zambia,1990,22.686,24.36,1.5,1.0,,,,,Other Milds,89.7541,ZM,-13.133897,27.849332,1461.6,90.0,1361.16,0.8975409999999999
Cameroon,1990,1682.484,2611.2590004,83.3,1344.0,,,,,Other Milds,32.2852,CM,7.369722,12.354722,156675.540024,4998.0,100949.04,0.32285200000000003
Cameroon,1990,1682.484,2611.2590004,83.3,1344.0,,,,,Robustas,28.3337,CM,7.369722,12.354722,156675.540024,4998.0,100949.04,0.283337
Central African Republic,1990,175.274,196.698,28.0,55.0,,,,,Robustas,36.7471,CF,6.611111,20.939444,11801.880000000001,1680.0,10516.44,0.36747100000000005
Colombia,1990,14396.0,13943.8700004,1235.0,3720.797,,,,,Colombian Milds,69.523,CO,4.570868,-74.297333,836632.200024,74100.0,863760.0,0.69523
Costa Rica,1990,2561.885,2265.644,375.0,343.0,,,,,Other Milds,58.4893,CR,9.748917,-83.753428,135938.63999999998,22500.0,153713.1,0.584893
Côte d'Ivoire,1990,2940.363,4282.8659998,50.0,4796.0,,,,,Robustas,33.4064,CI,7.539989,-5.54708,256971.95998800002,3000.0,176421.78,0.33406399999999997
Democratic Republic of Congo,1990,1580.296,1838.636,200.0,116.0,,,,,Other Milds,,,,,110318.16,12000.0,94817.76000000001,
Democratic Republic of Congo,1990,1580.296,1838.636,200.0,116.0,,,,,Robustas,4.5201,,,,110318.16,12000.0,94817.76000000001,0.045201000000000005
El Salvador,1990,2464.864,2509.873,180.0,245.0,,,,,Other Milds,50.5636,SV,13.794185,-88.89653,150592.38,10800.0,147891.84,0.505636
Ethiopia,1990,2909.451,1074.101,1200.0,2800.0,,,,,Brazilan Naturals,61.09,ET,9.145,40.489673,64446.060000000005,72000.0,174567.06,0.6109
Gabon,1990,3.408,2.314,1.7,2.0,,,,,Robustas,43.4284,GA,-0.803689,11.609444,138.84,102.0,204.48,0.43428400000000006
Ghana,1990,37.855,10.865,17.0,4.0,,,,,Robustas,,GH,7.946527000000001,-1.0231940000000002,651.9,1020.0,2271.2999999999997,
Guatemala,1990,3270.529,3240.141,300.0,77.0,,,,,Other Milds,54.5845,GT,15.783471,-90.230759,194408.46,18000.0,196231.74,0.545845
Guinea,1990,44.46,121.696,25.0,45.0,,,,,Robustas,34.3722,GN,9.945587,-9.696645,7301.76,1500.0,2667.6,0.34372199999999997
Honduras,1990,1567.958,1735.093,188.154,101.198,,,,,Other Milds,50.3496,HN,15.199998999999998,-86.241905,104105.58,11289.24,94077.48000000001,0.503496
India,1990,2828.687,1979.1479994,903.0,842.0,,,,,Other Milds,66.7522,IN,20.593684,78.96288,118748.87996399999,54180.0,169721.22,0.6675220000000001
India,1990,2828.687,1979.1479994,903.0,842.0,,,,,Robustas,44.3451,IN,20.593684,78.96288,118748.87996399999,54180.0,169721.22,0.44345100000000004
Jamaica,1990,22.574,14.9839996,7.0,0.0,,,,,Other Milds,171.5513,JM,18.109581,-77.297508,899.039976,420.0,1354.44,1.715513
Kenya,1990,1485.135,1969.338,50.0,766.333,,,,,Colombian Milds,60.5721,KE,-0.023559,37.906193,118160.28,3000.0,89108.1,0.605721
Liberia,1990,3.0,22.411,3.0,0.0,,,,,Robustas,,LR,6.4280550000000005,-9.429499,1344.66,180.0,180.0,
